type,SpecimenID,SpeciesCode,Family,j_fg,SiteName,SizeClass,wt,SL,gh,gw,TL,FL,DissectedBy,Prey_zps,pType,pSize,ga
fish,KIF11_205,PA.INSU,Mullidae,BI,3,256 - 512 g,306.5,217,28.6,33.5,270,241,RT/SC,y,invert,30,752.4899804
fish,KIF11_205,PA.INSU,Mullidae,BI,3,256 - 512 g,306.5,217,28.6,33.5,270,241,RT/SC,y,invert,7,752.4899804
fish,KIF11_207,CA.ORTH,Carangidae,Pi,3,1.02 - 2.05 kg,1732.5,395,50.6,55.1,485,430,RT/SC,y,fish,31,2189.737203
fish,KIF11_212,CE.UROD,Serranidae,Pi,15,64 - 128 g,98,145,39.5,37.6,176,None,RT/SC,y,fish,80,1166.473352
fish,KIF11_212,CE.UROD,Serranidae,Pi,15,64 - 128 g,98,145,39.5,37.6,176,None,RT/SC,y,fish,46,1166.473352
fish,KIF11_228,LU.BOHA,Lutjanidae,Pi,15,2.05 - 4.10 kg,2920,465,78,72,575,530,RT/SC,y,fish,45,4410.796086
fish,KIF11_237,PA.INSU,Mullidae,BI,40,256 - 512 g,279,223,32.7,36.7,282,252,RT/SC,y,invert,10,942.5484819
fish,KIF11_238,PA.INSU,Mullidae,BI,40,128 - 256 g,230.6,215,34.3,38.7,267,239,RT/SC,y,invert,4,1042.545376
fish,KIF11_239,LU.BOHA,Lutjanidae,Pi,40,256 - 512 g,381.5,241,46,43.5,292,270,RT/SC,y,fish,30,1571.581725
fish,KIF11_240,PA.INSU,Mullidae,BI,40,64 - 128 g,116.2,169,27.1,29,211,189,RT/SC,y,invert,6,617.2444166
fish,KIF11_241,PA.INSU,Mullidae,BI,40,64 - 128 g,92.9,158,27,27,199,176,RT/SC,y,invert,10,572.5552611
fish,KIF11_244,PA.INSU,Mullidae,BI,40,256 - 512 g,426.5,246,38,40.3,305,270,RT/SC,y,fish,11,1202.758747
fish,KIF11_247,CE.UROD,Serranidae,Pi,40,64 - 128 g,85.9,134,34.6,35.8,166,None,RT/SC,y,fish,16,972.856997
fish,KIF11_258,CE.ARGU,Serranidae,Pi,15,256 - 512 g,400.7,231,60.2,63,278,None,RT/SC,y,fish,89,2978.701075
fish,KIF11_258,CE.ARGU,Serranidae,Pi,15,256 - 512 g,400.7,231,60.2,63,278,None,RT/SC,y,fish,86,2978.701075
fish,KIF11_258,CE.ARGU,Serranidae,Pi,15,256 - 512 g,400.7,231,60.2,63,278,None,RT/SC,y,fish,77,2978.701075
fish,KIF11_258,CE.ARGU,Serranidae,Pi,15,256 - 512 g,400.7,231,60.2,63,278,None,RT/SC,y,fish,60,2978.701075
fish,KIF11_258,CE.ARGU,Serranidae,Pi,15,256 - 512 g,400.7,231,60.2,63,278,None,RT/SC,y,fish,39,2978.701075
fish,KIF11_272,CE.UROD,Serranidae,Pi,15,64 - 128 g,64.5,131,39.8,40.5,157,None,RT/SC,y,fish,22,1265.9833
fish,KIF11_277,CE.UROD,Serranidae,Pi,15,32 - 64 g,57.5,115,36.5,34.4,142,None,RT/SC,y,fish,23,986.145934
fish,KIF11_396,LU.BOHA,Lutjanidae,Pi,38,512 - 1024 g,593.9,263,51.1,58.3,340,310,RT/SC,y,fish,129,2339.803231
fish,KIF11_435,PA.INSU,Mullidae,BI,9,128 - 256 g,193.9,194,28.6,28.5,240,217,RT/SC,y,fish,26,640.178043
fish,KIF11_435,PA.INSU,Mullidae,BI,9,128 - 256 g,193.9,194,28.6,28.5,240,217,RT/SC,y,invert,4,640.178043
fish,KIF11_435,PA.INSU,Mullidae,BI,9,128 - 256 g,193.9,194,28.6,28.5,240,217,RT/SC,y,invert,8,640.178043
fish,KIF11_436,PA.INSU,Mullidae,BI,9,64 - 128 g,109.5,168,20,22.6,206,179,RT/SC,y,invert,4,354.9999699
fish,KIF11_437,PA.INSU,Mullidae,BI,9,128 - 256 g,201.1,195,27.7,23.6,247,212,RT/SC,y,invert,26,513.4304874
fish,KIF11_437,PA.INSU,Mullidae,BI,9,128 - 256 g,201.1,195,27.7,23.6,247,212,RT/SC,y,invert,18,513.4304874
fish,KIF11_438,PA.INSU,Mullidae,BI,9,16 - 32 g,19.2,94,11.2,12.4,117,102,RT/SC,y,invert,4,109.0760969
fish,KIF11_474,PA.INSU,Mullidae,BI,11,128 - 256 g,192,199,32.7,31.7,250,218,RT/SC,y,invert,25,814.1358822
fish,KIF11_474,PA.INSU,Mullidae,BI,11,128 - 256 g,192,199,32.7,31.7,250,218,RT/SC,y,invert,11,814.1358822
fish,KIF11_474,PA.INSU,Mullidae,BI,11,128 - 256 g,192,199,32.7,31.7,250,218,RT/SC,y,invert,12,814.1358822
fish,KIF11_474,PA.INSU,Mullidae,BI,11,128 - 256 g,192,199,32.7,31.7,250,218,RT/SC,y,invert,9,814.1358822
fish,KIF11_475,PA.INSU,Mullidae,BI,11,256 - 512 g,317.4,235,28.5,34.9,284,248,RT/SC,y,invert,6,781.1962832
fish,KIF11_292,PA.INSU,Mullidae,BI,10,128 - 256 g,218.5,209,32.6,37,267,230,RT/SC,y,fish,24,947.3472647
fish,KIF11_292,PA.INSU,Mullidae,BI,10,128 - 256 g,218.5,209,32.6,37,267,230,RT/SC,y,fish,8,947.3472647
fish,KIF11_299,PA.INSU,Mullidae,BI,11,256 - 512 g,263.4,219,30.2,33.6,274,242,RT/SC,y,fish,34,796.9592244
fish,KIF11_299,PA.INSU,Mullidae,BI,11,256 - 512 g,263.4,219,30.2,33.6,274,242,RT/SC,y,invert,11,796.9592244
fish,KIF11_300,PA.INSU,Mullidae,BI,11,128 - 256 g,131.9,184,25.5,29.4,227,197,RT/SC,y,invert,5,588.8130031
fish,KIF11_301,LU.BOHA,Lutjanidae,Pi,10,2.05 - 4.10 kg,2900,454,89,71.2,560,520,RT/SC,y,fish,108,4976.911082
fish,KIF11_332,CE.UROD,Serranidae,Pi,10,64 - 128 g,91.8,130,19.8,17.3,159.2,None,AO,y,invert,1,269.0302869
fish,KIF11_335,CE.UROD,Serranidae,Pi,10,16 - 32 g,27.1,94.1,11.8,9.5,114.9,None,AO,y,invert,1,88.04313412
fish,KIF11_336,PA.ARCA,Cirrhitidae,BI,33,16 - 32 g,28.1,89.8,7.2,6.9,112.2,104.4,AO,y,invert,50,39.01858076
fish,KIF11_372,PA.ARCA,Cirrhitidae,BI,40,16 - 32 g,24.1,83.2,17.6,15.8,100.5,100.5,KP,y,invert,5,218.4035213
fish,KIF11_373,PA.ARCA,Cirrhitidae,BI,40,16 - 32 g,17.7,82.6,18.5,15.5,103.2,103.2,KP,y,fish,25,225.2129234
fish,KIF11_377,PA.ARCA,Cirrhitidae,BI,40,8 - 16 g,9.3,64.1,9.5,7.8,76.5,71.7,AO/KP,y,invert,5,58.19800391
fish,KIF11_565,PA.INSU,Mullidae,BI,35,8 - 16 g,13.5,82,10.1,9.5,102.2,88.4,AO,y,invert,1,75.35895378
fish,KIF12_050,CA.MELA,Carangidae,Pi,8,2.05 - 4.10 kg,2200,490,27.6,19,585,520,RT,y,fish,7,411.8627969
fish,KIF12_067,LU.BOHA,Lutjanidae,Pi,25,128 - 256 g,166,184,33.7,39,236,214,RT,y,invert,8,1032.248806
fish,KIF12_067,LU.BOHA,Lutjanidae,Pi,25,128 - 256 g,166,184,33.7,39,236,214,RT,y,invert,7,1032.248806
fish,KIF12_106,CA.MELA,Carangidae,Pi,3,2.05 - 4.10 kg,2833.1,510,49.6,70,596,540,RT,y,fish,130,2726.902423
fish,KIF12_120,LU.BOHA,Lutjanidae,Pi,40,32 - 64 g,36.3,109.1,30.3,28.7,141.2,130.8,AB,y,invert,20,682.9900969
fish,KIF12_123,VA.LOUT,Serranidae,Pi,40,2.05 - 4.10 kg,2270,458,91,96,580,510,RT,y,fish,120,6861.238355
fish,KIF12_126,VA.LOUT,Serranidae,Pi,30,512 - 1024 g,570,280,67,72.5,385,330,SC,y,fish,64,3815.071579
fish,KIF12_126,VA.LOUT,Serranidae,Pi,30,512 - 1024 g,570,280,67,72.5,385,330,SC,y,fish,73.5,3815.071579
fish,KIF12_126,VA.LOUT,Serranidae,Pi,30,512 - 1024 g,570,280,67,72.5,385,330,SC,y,fish,55,3815.071579
fish,KIF12_126,VA.LOUT,Serranidae,Pi,30,512 - 1024 g,570,280,67,72.5,385,330,SC,y,fish,75.3,3815.071579
fish,KIF12_127,AP.VIRE,Lutjanidae,Pi,40,1.02 - 2.05 kg,1469,480,61,65,590,510,RT,y,fish,160,3114.103718
fish,KIF12_131,VA.LOUT,Serranidae,Pi,30,512 - 1024 g,820,324,65,74.4,430,370,RT,y,fish,108,3798.185518
fish,KIF12_166,PA.INSU,Mullidae,BI,40,64 - 128 g,85.8,159,13.6,11.3,199,180,AB,y,invert,26.3,120.6999898
fish,KIF12_166,PA.INSU,Mullidae,BI,40,64 - 128 g,85.8,159,13.6,11.3,199,180,AB,y,invert,21.6,120.6999898
fish,KIF12_171,CE.ARGU,Serranidae,Pi,40,256 - 512 g,380,134.2,63.9,66.5,138.6,None,MW,y,invert,30.1,3337.431686
fish,KIF12_174,LU.BOHA,Lutjanidae,Pi,30,64 - 128 g,85.6,152,25.1,24.2,192,173,AB,y,invert,8,477.0665524
fish,KIF12_183,PA.ARCA,Cirrhitidae,BI,30,8 - 16 g,11.7,69.8,17.8,16.9,86.6,None,AB,y,invert,32.6,236.2634755
fish,KIF12_207,LU.BOHA,Lutjanidae,Pi,40,32 - 64 g,36.6,100.8,30.3,30.7,135.6,123,SC,y,invert,20,730.5852256
fish,KIF12_211,PA.INSU,Mullidae,BI,33,32 - 64 g,35,114.9,22.2,26.4,143.8,127,AB,y,invert,110,460.3061556
fish,KIF12_214,PA.INSU,Mullidae,BI,33,32 - 64 g,59.5,143,23.5,26.6,169,154,AB,y,invert,8.6,490.9523919
fish,KIF12_216,VA.LOUT,Serranidae,Pi,27,512 - 1024 g,530,263,65.8,68.3,361.2,310.6,SC,y,invert,49,3529.689302
fish,KIF12_220,AP.FURC,Lutjanidae,Pi,6,512 - 1024 g,525,283,62.3,67,360,304,LW,y,invert,19,3278.330474
fish,KIF12_220,AP.FURC,Lutjanidae,Pi,6,512 - 1024 g,525,283,62.3,67,360,304,LW,y,invert,28,3278.330474
fish,KIF12_220,AP.FURC,Lutjanidae,Pi,6,512 - 1024 g,525,283,62.3,67,360,304,LW,y,fish,60.5,3278.330474
fish,KIF12_222,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,410,252,57.3,59.2,340,282,SC,y,fish,53,2664.196234
fish,KIF12_222,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,410,252,57.3,59.2,340,282,SC,y,invert,32,2664.196234
fish,KIF12_224,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,460,258,61.7,57.2,364,306,AB,y,invert,7,2771.858614
fish,KIF12_224,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,460,258,61.7,57.2,364,306,AB,y,invert,31,2771.858614
fish,KIF12_224,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,460,258,61.7,57.2,364,306,AB,y,invert,31,2771.858614
fish,KIF12_224,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,460,258,61.7,57.2,364,306,AB,y,invert,31,2771.858614
fish,KIF12_224,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,460,258,61.7,57.2,364,306,AB,y,invert,31,2771.858614
fish,KIF12_226,AP.FURC,Lutjanidae,Pi,6,256 - 512 g,360,262,58.8,61.2,344,287,SC,y,fish,62,2826.302415
fish,KIF12_239,AP.FURC,Lutjanidae,Pi,8,512 - 1024 g,640,304,60.3,62.4,402,342,SC,y,fish,73,2955.233377
fish,KIF12_252,CA.MELA,Carangidae,Pi,15,64 - 128 g,126.6,179,21.4,25,211,186,RT,y,invert,25,420.1880174
fish,KIF12_254,AP.FURC,Lutjanidae,Pi,15,128 - 256 g,230,218,50,49.3,271,242,AB,y,invert,7,1936.006473
fish,KIF12_259,CE.UROD,Serranidae,Pi,15,64 - 128 g,111.6,155,43.7,11.7,188,None,AB,y,invert,13,401.566227
fish,KIF12_259,CE.UROD,Serranidae,Pi,15,64 - 128 g,111.6,155,43.7,11.7,188,None,AB,y,fish,48,401.566227
fish,KIF12_282,VA.LOUT,Serranidae,Pi,3,1.02 - 2.05 kg,1816,414,85,98,551,474,LW,y,fish,258,6542.366701
