pk_SpecimenID,RT.OldID,SiteName,SpeciesCode,SciName,Guild,FishLevel,CollNotes,Weight (g),TL,FL,SL,GapeHeight,GapeWidth,log2biomass,PreySizeInStomach,SizeClass,StomachContents,DissNotes
2606,KIF12.312,15,CA.MELA,Caranx melampygus,AP,LP.LF,,3719.00,720.0,,595.0,70.0,82.6,11.861,,2.05 -4.10 kg,empty stomach except for 2 fish eye lenses,
2627,KIF12.333,8,CA.MELA,Caranx melampygus,AP,HP.LF,,2155.00,580.0,,476.0,60.0,75.0,11.073,,2.05 -4.10 kg,"little sordidus (143mm), unID'd fish (185mm) - sample only taken from unID'd fish",
2325,KIF12.31,30,CE.FLAV,Centropyge flavissima,He,HP.HF,,13.50,77.3,NA,60.3,7.0,4.0,3.755,NA,8 - 16 g,"green-goo, algae",
2341,KIF12.47,9,CE.FLAV,Centropyge flavissima,He,HP.MF,,7.40,63.8,NA,50.8,3.4,2.2,2.888,NA,4 - 8 g,green stuff,
2364,KIF12.070,30,CE.FLAV,Centropyge flavissima,He,HP.HF,,10.30,71.5,NA,59.8,4.6,3.5,3.365,NA,8 - 16 g,,Whole stomach retained
2365,KIF12.071,25,CE.FLAV,Centropyge flavissima,He,LP.MF,,6.00,61.0,NA,47.7,3.8,2.9,2.585,NA,4 - 8 g,,
2469,KIF12.175,40,CE.FLAV,Centropyge flavissima,He,HP.MF,,25.00,95.5,NA,74.7,4.9,5.4,4.644,,16 - 32 g,goop-brown,
2476,KIF12.182,30,CE.FLAV,Centropyge flavissima,He,HP.HF,,23.60,89.9,NA,70.8,5.4,6.2,4.561,,16 - 32 g,hard packed red algae,
2478,KIF12.184,40,CE.FLAV,Centropyge flavissima,He,HP.MF,,27.00,99.5,NA,79.9,6.4,5.0,4.755,,16 - 32 g,"dark green matter, muscle ??",
2479,KIF12.185,40,CE.FLAV,Centropyge flavissima,He,HP.MF,,21.80,87.6,NA,70.2,4.6,3.6,4.446,,16 - 32 g,red algae - same as #182,end of afternoon dissections
2509,KIF12.215,33,CE.LORI,Centropyge loricula,He,HP.MF,,9.80,69.6,NA,50.7,1.6,1.5,3.293,,8 - 16 g,,
1418,KIF11_051,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,1193.20,395.0,NA,335.0,63.4,72.4,10.221,,1.02 - 2.05 kg,empty,
1485,KIF11_118,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,839.20,363.0,NA,302.0,63.4,75.5,9.713,,512 - 1024 g,unid juvenile fish (9.5 cm TL),
1486,KIF11_119,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,497.80,284.0,NA,237.0,65.0,62.5,8.959,,256 - 512 g,empty,
1495,KIF11_128,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,518.40,320.0,NA,265.0,69.7,81.0,9.018,,512 - 1024 g,small amount of digesting fish material,
